He,he,21.139999,21.169999
took,took,21.34,21.65
a,a,21.65,21.729999999999997
deep,deep,21.73,22.09
breath,breath,22.17,22.78
and,and,23.05,23.240000000000002
tried,tried,23.240000000000002,23.53
to,to,23.53,23.62
calm,calm,23.62,23.93
down,down,23.93,24.38
The,the,25.37,25.490000000000002
situation,situation,25.490000000000002,26.17
seemed,seemed,26.17,26.44
almost,almost,26.439999999999998,26.79
hopeless,hopeless,26.79,27.46
and,and,27.889999,28.029999
after,after,28.03,28.34
he,he,28.34,28.48
spent,spent,28.48,28.87
most,most,28.9,29.229999999999997
of,of,29.23,29.35
the,the,29.349999,29.439999
last,last,29.439999999999998,29.79
weeks,weeks,29.79,30.11
drinking,drinking,30.11,30.79
he,he,31.11,31.28
knew,knew,31.28,31.53
he,he,31.54,31.66
must,must,31.66,31.99
confront,confront,32.0,32.43
the,the,32.469999,32.599999000000004
truth,truth,32.599999,33.149998999999994
He,he,34.1,34.26
looked,looked,34.260000000000005,34.470000000000006
at,at,34.469999,34.539999
his,his,34.539999,34.709999
reflection,reflection,34.709998999999996,35.279999
in,in,35.279999000000004,35.389999
the,the,35.389999,35.489999000000005
mirror,mirror,35.489999999999995,36.03999999999999
and,and,36.139999,36.299999
started,started,36.3,36.699999999999996
sobbing,sobbing,36.7,37.2
uncontrollably,uncontrollably,37.24,38.24
That,that,39.54,39.86
evening,evening,39.88,40.400000000000006
at,at,40.87,41.019999999999996
his,his,41.019999999999996,41.22
deepest,deepest,41.22,41.699999999999996
moment,moment,41.7,42.09
of,of,42.09,42.2
despair,despair,42.2,42.830000000000005
he,he,43.31,43.43
did,did,43.44,43.65
the,the,43.65,43.769999999999996
unthinkable,unthinkable,43.769999999999996,44.55
calling,calling,45.099999,45.50999899999999
his,his,45.51,45.68
mother,mother,45.679999,46.009999
to,to,46.019999999999996,46.129999999999995
consult,consult,46.13,46.720000000000006
In,in,48.05,48.23
general,general,48.230000000000004,48.84
advice,advice,49.44,49.9
from,from,49.9,50.11
his,his,50.11,50.3
mother,mother,50.299999,50.689999
resembled,resembled,50.69,51.23
a,a,51.259999,51.379999
long,long,51.38,51.940000000000005
and,and,52.07,52.25
gruesomely,<unk>,52.279999000000004,52.959999
painful,painful,52.959998999999996,53.529999
lecture,lecture,53.529999000000004,54.039999
about,about,54.469999,54.769999
all,all,54.79,55.05
the,the,55.05,55.169999999999995
big,big,55.18,55.42
mistakes,mistakes,55.42,55.93
he,he,55.93,56.04
had,had,56.04,56.16
made,made,56.16,56.419999999999995
in,in,56.42,56.54
his,his,56.54,56.73
life,life,56.73,57.129999999999995
Starting,starting,58.08,58.53
from,from,58.53,58.71
how,how,58.71,58.87
he,he,58.87,59.05
fought,,,
to,to,59.37,59.51
stay,stay,59.51,59.75
in,in,59.75,59.85
his,his,59.85,60.03
mother’s,mother's,60.03,60.39
womb,womb,60.41,60.88999999999999
up,up,61.43,61.65
to,to,61.65,61.79
the,the,61.79,61.9
way,way,61.9,62.17
he,he,62.17,62.34
had,had,62.34,62.5
ruined,ruined,62.5,62.95
the,the,62.96,63.08
relationship,relationship,63.08,63.769999999999996
with,with,63.769999999999996,63.919999999999995
Emily,emily,63.94,64.36
L’Amour,<unk>,64.38,64.92
To,to,66.42,66.55
be,be,66.55,66.72
honest,honest,66.719999,67.299999
this,this,67.509999,67.709999
wasn’t,wasn't,67.71000000000001,68.08000000000001
far,far,68.09,68.35000000000001
from,from,68.349999,68.489999
the,the,68.49,68.58
truth,truth,68.58,69.06
His,his,69.759999,69.94999899999999
mother,mother,69.95,70.23
had,had,70.24,70.39999999999999
gone,gone,70.4,70.58000000000001
through,through,70.58,70.77
almost,almost,70.779999,71.199999
40,<unk>,71.209999,71.579999
hours,hours,71.58,72.02
of,of,72.039999,72.16999899999999
painful,painful,72.18,72.69000000000001
labor,labor,72.690001,73.170001
He,he,73.44,73.59
could,could,73.59,73.73
imagine,imagine,73.73,74.33
though,though,74.96,75.1
he,he,75.1,75.22
never,never,75.22,75.46
actually,actually,75.46,75.83999999999999
tried,tried,75.85,76.36
it,it,76.83,76.99
could,could,76.99,77.14999999999999
have,have,77.15,77.30000000000001
gone,gone,77.3,77.52
better,better,77.53,77.96000000000001
But,but,79.35,79.53999999999999
to,to,79.54,79.65
this,this,79.65,79.92
day,day,79.92,80.36
every,every,80.84,81.12
time,time,81.12,81.43
he,he,81.429999,81.579999
looked,looked,81.58,81.85
at,at,81.86,81.97
his,his,81.969999,82.129999
mom’s,mom's,82.13,82.44
belly,belly,82.46000000000001,82.94000000000001
he,he,83.23,83.4
felt,felt,83.4,83.67
that,that,83.67,83.83
it,it,83.83,83.92999999999999
was,was,83.969999,84.169999
the,the,84.19,84.34
only,only,84.34,84.62
place,place,84.62,85.03
that,that,85.07,85.22999999999999
truly,truly,85.24,85.61999999999999
